,CustomerID,CustomerName,Gender,Age,CustomerType,City,State,PostalCode,Region,Recency,RecencyCluster,Frequency,FrequencyCluster,Sales,SalesCluster,OverallScore,Profit,ValueSegment,ValueSegment
28,MC-17605,Matt Connell,Male,25,Home Office,Detroit,Michigan,48234,Central,112,3,18,2,2258.192,1,6,191.45,High-Value,0
29,LH-17155,Logan Haushalter,Male,24,Consumer,Los Angeles,California,90032,West,427,2,19,2,1739.6890000000003,0,4,315.0400000000001,Mid-Value,0
30,BD-11500,Bradley Drucker,Male,41,Corporate,Green Bay,Wisconsin,54302,Central,35,3,10,1,4411.243,1,5,1140.78,High-Value,2
31,ES-14080,Erin Smith,Female,60,Corporate,Tucson,Arizona,85705,West,102,3,20,2,4657.924000000001,1,6,241.48000000000002,High-Value,2
32,AS-10135,Adrian Shami,Male,24,Consumer,New York City,New York,10035,East,41,3,3,0,58.82,0,3,21.64,Mid-Value,0
33,RC-19960,Ryan Crowe,Male,24,Consumer,Jacksonville,Florida,32216,South,51,3,11,1,885.752,0,4,8.63999999999998,Mid-Value,0
34,JF-15490,Jeremy Farry,Male,20,Consumer,Seattle,Washington,98105,West,121,3,15,2,1082.9180000000001,0,5,-20.250000000000007,High-Value,0
35,FP-14320,Frank Preis,Male,56,Corporate,Los Angeles,California,90008,West,171,3,14,2,4046.7460000000005,1,6,404.56,High-Value,2
36,TP-21130,Theone Pippenger,Male,24,Consumer,Philadelphia,Pennsylvania,19134,East,8,3,16,2,4454.056,1,6,1127.7300000000002,High-Value,2
37,NB-18655,Nona Balk,Female,55,Corporate,Dallas,Texas,75217,Central,42,3,17,2,1972.5990000000004,1,6,114.68999999999997,High-Value,0
38,RP-19390,Resi Pölking,Male,14,Consumer,Cleveland,Ohio,44105,East,33,3,25,3,5153.084000000001,2,8,461.5500000000001,High-Value,2
39,RB-19570,Rob Beeghly,Male,24,Consumer,Columbus,Indiana,47201,Central,232,2,9,1,528.546,0,3,75.4,Mid-Value,0
40,MC-17845,Michael Chen,Male,39,Corporate,Jackson,Mississippi,39212,South,1,3,14,2,3805.714,1,6,697.02,High-Value,2
41,JO-15550,Jesus Ocampo,Male,28,Home Office,Chester,Pennsylvania,19013,East,215,2,11,1,1090.838,0,3,165.08000000000004,Mid-Value,0
42,DP-13165,David Philippe,Male,35,Home Office,New York City,New York,10035,East,812,1,4,0,1058.616,0,1,-41.54,Low-Value,0
43,TH-21550,Tracy Hopkins,Female,18,Consumer,New York City,New York,10035,East,72,3,13,2,4234.096,1,6,-572.8799999999999,High-Value,2
44,SV-20365,Seth Vernon,Male,18,Consumer,Dover,Delaware,19901,East,101,3,32,3,11470.949999999997,3,9,1194.4399999999998,High-Value,1
45,EG-13900,Emily Grady,Female,39,Home Office,Oceanside,New York,11572,East,43,3,9,1,1832.02,0,4,102.46000000000005,Mid-Value,0
46,YC-21895,Yoseph Carroll,Female,39,Corporate,San Francisco,California,94110,West,4,3,8,1,5454.35,2,6,1305.04,High-Value,2
47,NZ-18565,Nick Zandusky,Male,44,Corporate,San Francisco,California,94110,West,203,2,20,2,2488.3100000000004,1,5,398.92000000000013,High-Value,2
48,DB-13120,David Bremer,Male,37,Home Office,Rochester,New York,14609,East,19,3,14,2,2973.094,1,6,-1423.78,High-Value,2
49,HW-14935,Helen Wasserman,Female,22,Consumer,San Diego,California,92105,West,134,3,20,2,9300.253999999997,2,7,2163.27,High-Value,1
50,GM-14440,Gary McGarr,Male,13,Consumer,San Francisco,California,94122,West,142,3,11,1,3582.8199999999997,1,5,345.96999999999997,High-Value,2
51,AA-10375,Allen Armold,Male,24,Consumer,Omaha,Nebraska,68104,Central,48,3,15,2,1056.39,0,5,276.19999999999993,High-Value,0
52,ZC-21910,Zuschuss Carroll,Male,19,Consumer,Edmonds,Washington,98026,West,54,3,31,3,8025.707,2,8,-1040.03,High-Value,1
53,BW-11110,Bart Watters,Male,15,Consumer,Milwaukee,Wisconsin,53209,Central,121,3,17,2,4750.358,2,7,918.86,High-Value,2
54,EM-14095,Eudokia Martin,Female,17,Consumer,Los Angeles,California,90036,West,143,3,10,1,1041.042,0,4,239.23,Mid-Value,0
55,LS-16945,Linda Southworth,Female,19,Consumer,Philadelphia,Pennsylvania,19140,East,29,3,14,2,2845.27,1,6,-323.06000000000006,High-Value,2
56,PK-18910,Paul Knutson,Male,56,Corporate,Philadelphia,Pennsylvania,19143,East,661,1,3,0,1441.152,0,1,-799.81,Low-Value,0
57,TB-21520,Tracy Blumstein,Female,24,Consumer,Concord,New Hampshire,3301,East,107,3,20,2,4737.486000000001,2,7,-1608.35,High-Value,2
58,PM-19135,Peter McVee,Male,16,Consumer,Detroit,Michigan,48227,Central,110,3,7,1,4115.661999999999,1,5,525.8600000000001,High-Value,2
59,PC-18745,Pamela Coakley,Female,38,Home Office,San Francisco,California,94122,West,2,3,5,0,1832.0639999999999,0,3,271.58000000000004,Mid-Value,0
60,JR-16210,Justin Ritter,Male,23,Consumer,Springfield,Ohio,45503,East,33,3,10,1,2201.6859999999997,1,5,450.17,High-Value,0
61,TD-20995,Tamara Dahlen,Female,21,Consumer,Garland,Texas,75043,Central,37,3,16,2,1434.548,0,5,84.28000000000003,High-Value,0
62,BM-11650,Brian Moss,Male,20,Consumer,Milwaukee,Wisconsin,53209,Central,33,3,29,3,7294.185000000001,2,8,2196.8299999999995,High-Value,1
63,JM-15535,Jessica Myrick,Female,20,Consumer,Philadelphia,Pennsylvania,19143,East,21,3,10,1,1733.4430000000002,0,4,355.63,Mid-Value,0
64,AB-10165,Alan Barnes,Male,17,Consumer,Toledo,Ohio,43615,East,106,3,14,2,1113.838,0,5,218.92,High-Value,0
65,RA-19885,Ruben Ausman,Male,29,Home Office,Farmington,New Mexico,87401,West,43,3,15,2,3832.3140000000003,1,6,1292.2700000000002,High-Value,2
66,KC-16255,Karen Carlisle,Female,19,Consumer,San Francisco,California,94110,West,407,2,10,1,2120.954,1,4,845.9200000000001,Mid-Value,0
67,CA-12775,Cynthia Arntzen,Female,48,Corporate,Mesa,Arizona,85204,West,25,3,17,2,3041.5659999999993,1,6,201.29,High-Value,2
68,CV-12805,Cynthia Voltz,Female,21,Consumer,San Francisco,California,94110,West,5,3,19,2,2370.3136000000004,1,6,94.35999999999999,High-Value,0
69,BS-11800,Bryan Spruell,Male,18,Consumer,New York City,New York,10011,East,117,3,8,1,949.43,0,4,194.05,Mid-Value,0
70,RW-19690,Robert Waldorf,Male,19,Consumer,Wilmington,North Carolina,28403,South,20,3,15,2,3495.6460000000006,1,6,706.45,High-Value,2
71,TS-21610,Troy Staebel,Male,24,Consumer,New York City,New York,10024,East,24,3,11,1,2820.424,1,5,-298.8,High-Value,2
72,RF-19735,Roland Fjeld,Male,22,Consumer,San Jose,California,95123,West,154,3,14,2,2341.2960000000003,1,6,711.43,High-Value,0
73,MT-17815,Meg Tillman,Female,15,Consumer,Scottsdale,Arizona,85254,West,49,3,10,1,2890.1389999999997,1,5,507.72,High-Value,2
74,AT-10735,Annie Thurman,Female,25,Consumer,Chicago,Illinois,60653,Central,13,3,16,2,3831.8639999999996,1,6,972.7199999999999,High-Value,2
75,VG-21790,Vivek Gonzalez,Female,25,Home Office,San Diego,California,92037,West,145,3,8,1,846.01,0,4,143.03000000000003,Mid-Value,0
76,HR-14770,Hallie Redmond,Male,23,Consumer,Los Angeles,California,90045,West,13,3,13,2,1299.2879999999998,0,5,184.98,High-Value,0
77,AG-10390,Allen Goldenen,Female,12,Consumer,Cincinnati,Ohio,45231,East,174,3,8,1,200.945,0,4,67.47,Mid-Value,0
78,JJ-15445,Jennifer Jackson,Male,19,Consumer,Los Angeles,California,90004,West,562,1,6,1,709.178,0,2,200.16,Low-Value,0
79,JH-15430,Jennifer Halladay,Female,14,Consumer,Burlington,North Carolina,27217,South,5,3,7,1,309.281,0,4,-26.260000000000005,Mid-Value,0
80,NS-18640,Noel Staavos,Male,24,Consumer,Chicago,Illinois,60610,Central,114,3,26,3,2964.823,1,7,-240.36,High-Value,2
81,DG-13300,Deirdre Greer,Male,31,Home Office,Philadelphia,Pennsylvania,19134,East,32,3,8,1,3195.818,1,5,561.97,High-Value,2
82,BD-11620,Brian DeCherney,Male,28,Home Office,San Francisco,California,94122,West,69,3,8,1,1538.11,0,4,205.37,Mid-Value,0
83,CC-12100,Chad Cunningham,Male,24,Consumer,Columbus,Indiana,47201,Central,457,2,13,2,1770.945,0,4,205.79999999999995,Mid-Value,0
84,PV-18985,Paul Van Hugh,Male,16,Consumer,San Francisco,California,94122,West,57,3,13,2,2876.0460000000003,1,6,433.44,High-Value,2
85,GG-14650,Greg Guthrie,Male,23,Consumer,Antioch,California,94509,West,43,3,24,3,2224.0000000000005,1,7,9.090000000000003,High-Value,0
86,PS-19045,Penelope Sewall,Female,29,Home Office,Harrisonburg,Virginia,22801,South,147,3,13,2,6843.634,2,7,1741.6399999999999,High-Value,1
87,DP-13105,Dave Poirier,Male,19,Consumer,New York City,New York,10035,East,6,3,14,2,2215.002,1,6,561.5699999999999,High-Value,0
88,LH-16750,Larry Hughes,Male,35,Home Office,Charlotte,North Carolina,28205,South,249,2,3,0,287.426,0,2,11.530000000000001,Low-Value,0
89,BM-11140,Becky Martin,Male,33,Home Office,New York City,New York,10024,East,307,2,16,2,11789.630000000001,3,7,-1662.6700000000005,High-Value,1
90,BG-11695,Brooke Gillingham,Female,47,Corporate,Cincinnati,Ohio,45231,East,36,3,8,1,1874.1720000000003,0,4,106.49,Mid-Value,0
91,CC-12220,Chris Cortes,Male,13,Consumer,La Porte,Indiana,46350,Central,44,3,22,3,3913.4179999999997,1,7,391.37,High-Value,2
92,TR-21325,Toby Ritter,Male,39,Home Office,Cedar Rapids,Iowa,52402,Central,193,2,7,1,675.9420000000001,0,3,220.16,Mid-Value,0
93,CC-12430,Chuck Clark,Male,18,Consumer,San Francisco,California,94122,West,0,3,19,2,2870.0499999999997,1,6,423.5300000000001,High-Value,2
94,AA-10315,Alex Avila,Male,23,Consumer,San Francisco,California,94109,West,184,2,11,1,5563.56,2,5,-363.8700000000001,High-Value,2
95,RC-19825,Roy Collins,Male,21,Consumer,Pasadena,California,91104,West,369,2,10,1,966.4089999999999,0,3,62.88999999999999,Mid-Value,0
96,EB-14170,Evan Bailliet,Female,17,Consumer,Wilmington,North Carolina,28403,South,111,3,7,1,1186.326,0,4,280.57,Mid-Value,0
97,LE-16810,Laurel Elliston,Female,17,Consumer,Chicago,Illinois,60653,Central,109,3,9,1,1469.4500000000003,0,4,159.45000000000002,Mid-Value,0
98,CP-12085,Cathy Prescott,Female,12,Consumer,Norwich,Connecticut,6360,East,111,3,14,2,5402.253999999999,2,7,425.03,High-Value,2
99,AS-10045,Aaron Smayling,Male,47,Corporate,Jacksonville,North Carolina,28540,South,265,2,10,1,3050.6920000000005,1,4,-257.14,Mid-Value,2
100,ND-18370,Natalie DeCherney,Female,16,Consumer,Louisville,Kentucky,40214,South,70,3,18,2,4326.139,1,6,349.84000000000003,High-Value,2
101,LB-16735,Larry Blacks,Male,18,Consumer,Fort Worth,Texas,76106,Central,19,3,3,0,50.188,0,3,17.85,Mid-Value,0
102,AB-10600,Ann Blume,Female,19,Consumer,Tucson,Arizona,85705,West,80,3,8,1,1515.862,0,4,-277.95,Mid-Value,0
103,SZ-20035,Sam Zeldin,Male,31,Home Office,Pico Rivera,California,90660,West,35,3,20,2,3625.3289999999997,1,6,362.03,High-Value,2
104,YS-21880,Yana Sorensen,Female,24,Consumer,Burlington,North Carolina,27217,South,9,3,12,1,6720.4439999999995,2,6,1777.71,High-Value,1
105,NC-18340,Nat Carroll,Female,22,Consumer,New York City,New York,10035,East,224,2,17,2,2461.4040000000005,1,5,579.6000000000001,High-Value,2
106,SV-20815,Stuart Van,Male,59,Corporate,Houston,Texas,77041,Central,76,3,6,1,1271.0900000000001,0,4,198.43999999999997,Mid-Value,0
107,PW-19030,Pauline Webber,Female,15,Consumer,Richmond,Kentucky,40475,South,46,3,13,2,3454.916,1,6,803.32,High-Value,2
108,TS-21160,Theresa Swint,Female,24,Consumer,Philadelphia,Pennsylvania,19134,East,504,1,17,2,2163.6240000000003,1,4,257.08,Mid-Value,0
109,TS-21085,Thais Sissman,Male,24,Consumer,Phoenix,Arizona,85023,West,182,3,2,0,4.833,0,3,-4.72,Mid-Value,0
110,MC-17425,Mark Cousins,Male,19,Consumer,Mobile,Alabama,36608,South,399,2,10,1,4432.138,1,4,1801.1999999999998,Mid-Value,2
111,LC-16930,Linda Cazamias,Female,26,Home Office,Pasadena,Texas,77506,Central,41,3,14,2,4492.946000000001,1,6,285.88,High-Value,2
112,KD-16495,Keith Dawkins,Female,16,Consumer,New York City,New York,10009,East,112,3,28,3,8181.255999999999,2,8,3036.129999999998,High-Value,1
113,KD-16345,Katherine Ducich,Female,24,Consumer,Westminster,California,92683,West,41,3,10,1,1888.964,0,4,327.29,Mid-Value,0
114,NK-18490,Neil Knudson,Male,12,Consumer,San Francisco,California,94122,West,20,3,11,1,572.048,0,4,119.83,Mid-Value,0
115,EP-13915,Emily Phan,Female,58,Corporate,New York City,New York,10011,East,12,3,31,3,5478.0608,2,8,138.81999999999996,High-Value,2
116,JS-15940,Joni Sundaresam,Male,16,Consumer,Appleton,Wisconsin,54915,Central,463,2,8,1,469.16900000000004,0,3,-330.63000000000005,Mid-Value,0
117,CS-12400,Christopher Schild,Male,25,Consumer,Seattle,Washington,98115,West,2,3,14,2,3651.8585000000003,1,6,-345.80000000000007,High-Value,2
118,AW-10840,Anthony Witt,Male,13,Consumer,Allen,Texas,75002,Central,79,3,8,1,649.376,0,4,64.18,Mid-Value,0
119,SC-20095,Sanjit Chand,Male,37,Corporate,Los Angeles,California,90004,West,349,2,22,3,14142.333999999999,3,8,5756.02,High-Value,1
120,MC-18100,Mick Crebagga,Male,15,Consumer,El Paso,Texas,79907,Central,41,3,19,2,2218.9799999999996,1,6,-69.27000000000001,High-Value,0
121,DL-12865,Dan Lawera,Male,35,Home Office,New York City,New York,10011,East,100,3,14,2,1503.112,0,5,320.14,High-Value,0
122,NP-18325,Naresj Patel,Female,25,Home Office,New York City,New York,10024,East,232,2,21,3,5529.62,2,7,1207.7100000000003,High-Value,2
123,DP-13390,Dennis Pardue,Female,41,Corporate,Peoria,Illinois,61604,Central,212,2,14,2,5480.724,2,6,1569.23,High-Value,2
124,MY-17380,Maribeth Yedwab,Female,58,Corporate,New York City,New York,10011,East,36,3,13,2,2254.285,1,6,315.14000000000004,High-Value,0
125,FH-14365,Fred Hopkins,Male,55,Corporate,Seattle,Washington,98115,West,5,3,13,2,6987.195999999998,2,7,2048.4799999999996,High-Value,1
126,VM-21685,Valerie Mitchum,Female,26,Home Office,Philadelphia,Pennsylvania,19140,East,167,3,12,1,2454.866,1,5,512.34,High-Value,2
127,CD-12280,Christina DeMoss,Female,20,Consumer,Seattle,Washington,98105,West,42,3,13,2,1205.584,0,5,231.91,High-Value,0
128,HL-15040,Hunter Lopez,Male,24,Consumer,Milwaukee,Wisconsin,53209,Central,43,3,11,1,12873.297999999999,3,7,5622.23,High-Value,1
129,RB-19645,Robert Barroso,Male,44,Corporate,North Las Vegas,Nevada,89031,West,648,1,7,1,221.084,0,2,71.67999999999999,Low-Value,0
130,SW-20455,Shaun Weien,Male,16,Consumer,Suffolk,Virginia,23434,South,162,3,9,1,2921.544,1,5,792.64,High-Value,2
131,DK-12835,Damala Kotsonis,Male,49,Corporate,Philadelphia,Pennsylvania,19143,East,70,3,27,3,3256.48,1,7,876.3299999999999,High-Value,2
132,JK-15370,Jay Kimmel,Male,12,Consumer,Philadelphia,Pennsylvania,19143,East,44,3,17,2,2709.632,1,6,328.19000000000005,High-Value,2
133,BM-11785,Bryan Mills,Male,24,Consumer,Rochester,New York,14609,East,218,2,14,2,1338.842,0,4,134.21999999999997,Mid-Value,0
134,JW-15955,Joni Wasserman,Male,13,Consumer,Oakland,California,94601,West,5,3,11,1,1244.0859999999998,0,4,-30.479999999999993,Mid-Value,0
135,VW-21775,Victoria Wilson,Female,59,Corporate,San Francisco,California,94122,West,43,3,18,2,6134.0380000000005,2,7,-877.5600000000003,High-Value,2
136,SL-20155,Sara Luxemburg,Female,41,Home Office,Houston,Texas,77095,Central,70,3,9,1,3053.012,1,5,526.38,High-Value,2
137,MR-17545,Mathew Reese,Male,43,Home Office,New York City,New York,10024,East,125,3,6,1,639.178,0,4,161.74,Mid-Value,0
138,GK-14620,Grace Kelly,Female,60,Corporate,Los Angeles,California,90049,West,112,3,14,2,6497.2699999999995,2,7,1446.3500000000001,High-Value,2
139,PB-19210,Phillip Breyer,Male,22,Consumer,Tulsa,Oklahoma,74133,Central,423,2,2,0,132.738,0,2,21.7,Low-Value,0
140,RM-19375,Raymond Messe,Male,25,Consumer,Meriden,Connecticut,6450,East,345,2,9,1,1453.474,0,3,391.76000000000005,Mid-Value,0
141,JB-15400,Jennifer Braxton,Female,40,Home Office,Bristol,Connecticut,6010,East,7,3,16,2,1791.605,0,5,152.75000000000003,High-Value,0
142,AH-10075,Adam Hart,Male,32,Home Office,Henderson,Nevada,89015,West,34,3,20,2,3250.3369999999995,1,6,278.5,High-Value,2
143,EH-14005,Erica Hernandez,Female,25,Consumer,Hialeah,Florida,33012,South,2,3,11,1,1219.5300000000002,0,4,-96.04000000000003,Mid-Value,0
144,AS-10090,Adam Shillingsburg,Male,19,Consumer,Charlottesville,Virginia,22901,South,105,3,25,3,3255.3100000000004,1,7,60.029999999999966,High-Value,2
145,AC-10450,Amy Cox,Female,43,Corporate,Minneapolis,Minnesota,55407,Central,11,3,9,1,5527.846,2,6,1364.3099999999997,High-Value,2
146,DW-13480,Dianna Wilson,Female,21,Consumer,Detroit,Michigan,48205,Central,217,2,11,1,5271.628,2,5,1348.35,High-Value,2
147,MD-17860,Michael Dominguez,Male,57,Corporate,Indianapolis,Indiana,46203,Central,36,3,8,1,1204.91,0,4,-6.330000000000002,Mid-Value,0
148,RW-19540,Rick Wilson,Male,34,Home Office,Los Angeles,California,90008,West,123,3,23,3,7397.401000000001,2,8,1583.54,High-Value,1
149,EH-13990,Erica Hackney,Female,25,Home Office,Roswell,Georgia,30076,South,405,2,8,1,825.9499999999999,0,3,149.87,Mid-Value,0
150,EH-13765,Edward Hooks,Male,45,Corporate,Watertown,New York,13601,East,135,3,32,3,10310.880000000001,3,9,1391.19,High-Value,1
151,RH-19495,Rick Hansen,Male,19,Consumer,Denver,Colorado,80219,West,22,3,8,1,3621.3759999999997,1,5,562.9799999999999,High-Value,2
152,CB-12415,Christy Brittain,Female,45,Corporate,Columbus,Ohio,43229,East,44,3,12,1,1949.2,1,5,268.40000000000003,High-Value,0
153,ND-18460,Neil Ducich,Male,21,Consumer,Chesapeake,Virginia,23320,South,85,3,8,1,2893.455,1,5,442.64,High-Value,2
154,CM-12190,Charlotte Melton,Female,43,Home Office,Chicago,Illinois,60623,Central,8,3,7,1,1475.144,0,4,90.71000000000002,Mid-Value,0
155,RH-19510,Rick Huthwaite,Male,38,Corporate,Providence,Rhode Island,2908,East,453,2,12,1,6979.179999999999,2,5,1289.0500000000002,High-Value,1
156,MC-17275,Marc Crier,Male,37,Home Office,Seattle,Washington,98103,West,76,3,13,2,2725.9820000000004,1,6,459.32,High-Value,2
157,CK-12595,Clytie Kelty,Female,39,Home Office,Philadelphia,Pennsylvania,19134,East,43,3,25,3,2372.7500000000005,1,7,493.09,High-Value,0
158,BF-11080,Bart Folk,Male,19,Consumer,Baltimore,Maryland,21215,East,21,3,6,1,272.95,0,4,110.92999999999999,Mid-Value,0
159,RW-19630,Rob Williams,Male,20,Consumer,Seattle,Washington,98105,West,261,2,16,2,3279.7459999999996,1,5,696.65,High-Value,2
160,DV-13465,Dianna Vittorini,Female,45,Corporate,Minneapolis,Minnesota,55407,Central,54,3,15,2,3341.5869999999995,1,6,351.51,High-Value,2
161,IL-15100,Ivan Liston,Male,25,Consumer,San Francisco,California,94122,West,83,3,14,2,5040.736,2,7,1120.93,High-Value,2
162,NS-18505,Neola Schneider,Female,24,Consumer,San Jose,California,95123,West,6,3,15,2,2575.863,1,6,-15.409999999999998,High-Value,2
163,HG-14965,Henry Goldwyn,Male,22,Consumer,San Francisco,California,94110,West,171,3,17,2,3247.6419999999994,1,6,-2800.8599999999997,High-Value,2
164,MV-17485,Mark Van Huff,Male,53,Corporate,Arlington,Virginia,22204,South,36,3,15,2,1560.0500000000002,0,5,185.40999999999997,High-Value,0
165,JK-15625,Jim Karlsson,Male,18,Consumer,Seattle,Washington,98115,West,61,3,12,1,3760.028,1,5,749.5400000000001,High-Value,2
166,FM-14215,Filia McAdams,Female,14,Consumer,Middletown,Connecticut,6457,East,7,3,15,2,2456.6379999999995,1,6,248.28,High-Value,2
167,PJ-18835,Patrick Jones,Male,15,Consumer,Murfreesboro,Tennessee,37130,South,39,3,13,2,1220.0900000000001,0,5,441.13999999999993,High-Value,0
168,BW-11200,Ben Wallace,Male,13,Consumer,Los Angeles,California,90032,West,85,3,10,1,1738.4060000000002,0,4,245.50000000000006,Mid-Value,0
169,RS-19420,Ricardo Sperren,Male,45,Corporate,Seattle,Washington,98115,West,76,3,9,1,3221.29,1,5,633.45,High-Value,2
170,BP-11185,Ben Peterman,Male,41,Home Office,Chicago,Illinois,60623,Central,1,3,18,2,3675.8610000000003,1,6,360.09000000000003,High-Value,2
171,MS-17980,Michael Stewart,Male,12,Consumer,Houston,Texas,77041,Central,262,2,11,1,855.116,0,3,53.33,Mid-Value,0
172,BC-11125,Becky Castell,Female,33,Home Office,Peoria,Arizona,85345,West,54,3,18,2,2933.6759999999995,1,6,249.61,High-Value,2
173,KN-16705,Kristina Nunn,Female,13,Consumer,Fort Collins,Colorado,80525,West,54,3,15,2,2280.5800000000004,1,6,327.96999999999997,High-Value,0
174,GM-14455,Gary Mitchum,Male,12,Consumer,Franklin,Massachusetts,2038,East,16,3,12,1,3078.6240000000003,1,5,791.2900000000002,High-Value,2
175,SC-20260,Scott Cohen,Male,40,Corporate,San Francisco,California,94122,West,187,2,18,2,3729.793,1,5,667.46,High-Value,2
176,MN-17935,Michael Nguyen,Male,16,Consumer,Clinton,Maryland,20735,East,34,3,10,1,2477.946,1,5,288.21999999999997,High-Value,2
177,CV-12295,Christina VanderZanden,Female,25,Home Office,Fresno,California,93727,West,254,2,13,2,2830.628,1,5,492.09000000000003,High-Value,2
178,DK-13375,Dennis Kane,Female,14,Consumer,San Diego,California,92105,West,19,3,23,3,3318.4859999999994,1,7,374.55000000000007,High-Value,2
179,BE-11335,Bill Eplett,Male,43,Home Office,San Francisco,California,94122,West,166,3,9,1,4204.6759999999995,1,5,1487.5900000000001,High-Value,2
180,PF-19225,Phillip Flathmann,Male,34,Home Office,Los Angeles,California,90032,West,174,3,10,1,2206.1279999999997,1,5,590.6999999999999,High-Value,0
181,DC-12850,Dan Campbell,Male,20,Consumer,Miami,Florida,33178,South,37,3,18,2,3336.1680000000006,1,6,-1445.44,High-Value,2
182,LS-17200,Luke Schmidt,Male,20,Consumer,Skokie,Illinois,60076,Central,96,3,14,2,1010.2560000000001,0,5,241.39000000000001,High-Value,0
183,KW-16570,Kelly Williams,Female,30,Home Office,Monroe,Louisiana,71203,South,771,1,5,0,449.09600000000006,0,1,107.73,Low-Value,0
